,Round,Home_Goals,Away_Goals,Home_Points,Away_Points,Total_Home_Goals_So_Far,Total_Away_Goals_So_Far,Cumulative_Home_Goals,Cumulative_Away_Goals,Total_Home_Points_So_Far,Total_Away_Points_So_Far,Cumulative_Home_Points,Cumulative_Away_Points
168,16,1,0,3,0,11,7,232,175,12,14,272,176
169,16,2,1,3,0,13,7,234,176,18,7,275,176
170,16,1,2,0,3,11,12,235,178,11,11,275,179
171,16,0,0,1,1,6,8,235,178,12,14,276,180
172,16,1,1,1,1,16,7,236,179,17,9,277,181
173,16,0,0,1,1,12,6,236,179,20,12,278,182
174,16,1,0,3,0,6,4,237,179,15,5,281,182
175,16,2,1,3,0,11,8,239,180,15,4,284,182
176,17,0,1,0,3,12,9,239,181,13,5,284,185
177,17,1,3,0,3,20,13,240,184,17,12,284,188
178,17,1,1,1,1,9,4,241,185,16,15,285,189
179,17,1,0,3,0,9,9,242,185,13,4,288,189
180,17,1,0,3,0,14,9,243,185,14,11,291,189
181,17,1,1,1,1,7,14,244,186,3,6,292,190
182,17,2,1,3,0,13,12,246,187,11,2,295,190
183,17,1,0,3,0,5,8,247,187,9,5,298,190
184,17,2,2,1,1,7,9,249,189,10,10,299,191
185,17,1,1,1,1,14,10,250,190,14,13,300,192
186,17,0,0,1,1,8,9,250,190,13,9,301,193
187,18,0,2,0,3,11,14,250,192,11,12,301,196
188,18,3,1,3,0,16,7,253,193,19,7,304,196
189,18,4,0,3,0,17,7,257,193,21,11,307,196
190,18,1,1,1,1,7,9,258,194,13,5,308,197
191,18,1,1,1,1,12,8,259,195,13,10,309,198
192,18,0,1,0,3,16,8,259,196,17,12,309,201
193,18,0,0,1,1,17,7,259,196,20,13,310,202
194,18,2,2,1,1,13,10,261,198,16,13,311,203
195,18,1,2,0,3,8,16,262,200,3,7,311,206
196,18,2,3,0,3,8,7,264,203,15,17,311,209
197,18,0,1,0,3,9,5,264,204,16,15,311,212
198,19,0,2,0,3,14,11,264,206,14,13,311,215
199,19,1,0,3,0,17,12,265,206,16,5,314,215
200,19,0,1,0,3,9,10,265,207,13,16,314,218
201,19,2,0,3,0,10,9,267,207,16,14,317,218
202,19,1,1,1,1,15,11,268,208,15,6,318,219
203,19,1,0,3,0,21,13,269,208,20,11,321,219
204,19,1,1,1,1,8,10,270,209,11,7,322,220
205,19,4,2,3,0,17,14,274,211,14,5,325,220
206,19,1,0,3,0,6,8,275,211,12,15,328,220
207,19,3,1,3,0,15,10,278,212,16,2,331,220
208,19,2,1,3,0,14,7,280,213,23,4,334,220
209,20,1,1,1,1,12,15,281,214,12,11,335,221
210,20,1,0,3,0,17,7,282,214,22,5,338,221
211,20,1,3,0,3,10,8,283,217,16,16,338,224
212,20,1,0,3,0,13,8,284,217,16,17,341,224
213,20,2,2,1,1,9,11,286,219,14,13,342,225
214,20,0,1,0,3,16,9,286,220,17,18,342,228
215,20,0,1,0,3,17,8,286,221,20,10,342,231
216,20,1,2,0,3,14,12,287,223,16,14,342,234
217,20,1,2,0,3,9,18,288,225,3,15,342,237
218,20,0,0,1,1,8,7,288,225,16,14,343,238
219,20,1,1,1,1,18,8,289,226,22,8,344,239
220,21,1,1,1,1,22,14,290,227,21,6,345,240
221,21,1,2,0,3,18,14,291,229,16,19,345,243
222,21,0,1,0,3,9,11,291,230,13,10,345,246
223,21,1,4,0,3,11,13,292,234,16,14,345,249
224,21,1,2,0,3,16,13,293,236,15,18,345,252
225,21,2,1,3,0,16,12,295,237,17,2,348,252
226,21,1,2,0,3,9,12,296,239,11,17,348,255
227,21,3,3,1,1,20,17,299,242,15,14,349,256
228,21,2,1,3,0,16,8,301,243,26,5,352,256
229,21,1,0,3,0,7,8,302,243,15,6,355,256
230,21,1,1,1,1,16,11,303,244,17,5,356,257
231,22,2,1,3,0,15,9,305,245,19,5,359,257
232,22,0,0,1,1,17,7,305,245,23,6,360,258
233,22,1,0,3,0,11,8,306,245,19,15,363,258
234,22,2,1,3,0,11,12,308,246,16,11,366,258
235,22,1,3,0,3,19,11,309,249,22,17,366,261
236,22,2,1,3,0,10,8,311,250,19,19,369,261
237,22,0,1,0,3,14,13,311,251,16,5,369,264
238,22,1,2,0,3,10,14,312,253,11,17,369,267
239,22,1,2,0,3,8,10,313,255,15,8,369,270
240,22,2,1,3,0,11,19,315,256,6,18,372,270
241,22,0,0,1,1,16,13,315,256,16,14,373,271
242,23,1,1,1,1,17,9,316,257,27,15,374,272
243,23,0,1,0,3,18,15,316,258,16,17,374,275
244,23,1,0,3,0,13,15,317,258,15,17,377,275
245,23,1,1,1,1,12,14,318,259,17,7,378,276
246,23,1,4,0,3,10,15,319,263,14,19,378,279
247,23,1,0,3,0,23,14,320,263,24,8,381,279
248,23,2,1,3,0,18,13,322,264,20,10,384,279
249,23,4,1,3,0,20,10,326,265,20,6,387,279
250,23,2,1,3,0,22,18,328,266,18,10,390,279
251,23,1,0,3,0,17,11,329,266,20,17,393,279
252,23,1,1,1,1,18,9,330,267,21,19,394,280
253,24,1,1,1,1,12,9,331,268,20,18,395,281
254,24,1,0,3,0,18,7,332,268,26,5,398,281
255,24,1,1,1,1,19,14,333,269,21,12,399,282
256,24,0,0,1,1,19,11,333,269,23,16,400,283
257,24,0,0,1,1,15,9,333,269,20,20,401,284
258,24,1,1,1,1,12,20,334,270,7,6,402,285
259,24,1,1,1,1,9,11,335,271,16,18,403,286
260,24,2,1,3,0,16,14,337,272,19,14,406,286
261,24,0,1,0,3,10,15,337,273,11,9,406,289
262,24,3,0,3,0,19,13,340,273,19,18,409,289
263,24,1,2,0,3,12,14,341,275,16,18,409,292
264,25,1,0,3,0,11,15,342,275,17,8,412,292
265,25,1,0,3,0,24,14,343,275,27,7,415,292
266,25,3,1,3,0,15,15,346,276,20,17,418,292
267,25,1,1,1,1,14,16,347,277,16,18,419,293
268,25,1,0,3,0,11,8,348,277,22,10,422,293
269,25,1,1,1,1,23,19,349,278,19,9,423,294
270,25,1,3,0,3,18,12,350,281,27,20,423,297
271,25,0,0,1,1,17,11,350,281,21,20,424,298
272,25,1,1,1,1,19,10,351,282,22,20,425,299
273,25,1,2,0,3,19,17,352,284,16,9,425,302
274,25,4,0,3,0,24,10,356,284,23,10,428,302
275,26,1,0,3,0,20,13,357,284,22,18,431,302
276,26,2,2,1,1,21,16,359,286,22,15,432,303
